category,item,variety,date,price,unit
vegetable,parsnips,all_varieties,3/4/2022,0.99,kg
vegetable,rhubarb,forced,3/4/2022,5.34,kg
vegetable,rhubarb,outdoor,3/4/2022,4.01,kg
cut_flowers,tulips,tulips,3/4/2022,0.29,stem
fruit,apples,bramleys_seedling,2/25/2022,1.9,kg
fruit,apples,coxs_orange_group,2/25/2022,1.5,kg
fruit,apples,egremont_russet,2/25/2022,1.18,kg
fruit,apples,braeburn,2/25/2022,1.09,kg
fruit,apples,gala,2/25/2022,1.07,kg
fruit,apples,other_late_season,2/25/2022,0.82,kg
fruit,pears,conference,2/25/2022,1.11,kg
fruit,pears,doyenne_du_comice,2/25/2022,1.13,kg
vegetable,beetroot,beetroot,2/25/2022,0.49,kg
vegetable,brussels_sprouts,brussels_sprouts,2/25/2022,0.79,kg
vegetable,pak_choi,pak_choi,2/25/2022,4.07,kg
vegetable,curly_kale,curly_kale,2/25/2022,3.2,kg
vegetable,cabbage,red,2/25/2022,0.57,kg
vegetable,cabbage,savoy,2/25/2022,0.5,head
vegetable,spring_greens,prepacked,2/25/2022,1.07,kg
vegetable,cabbage,white,2/25/2022,0.41,kg
vegetable,cabbage,round_green_other,2/25/2022,0.47,head
vegetable,capsicum,red,2/25/2022,0.95,kg
vegetable,carrots,topped_washed,2/25/2022,0.43,kg
vegetable,cauliflower,all,2/25/2022,0.75,head
vegetable,celeriac,celeriac,2/25/2022,0.81,kg
vegetable,cucumbers,cucumbers,2/25/2022,1,kg
vegetable,leeks,trimmed,2/25/2022,1.07,kg
vegetable,lettuce,butterhead_indoor,2/25/2022,0.47,head
vegetable,lettuce,little_gem,2/25/2022,0.82,twin
vegetable,onion,bulb_brown,2/25/2022,0.4,kg
vegetable,onion,bulb_red,2/25/2022,0.61,kg
vegetable,swede,swede,2/25/2022,0.24,kg
vegetable,turnip,turnip,2/25/2022,1.05,kg
vegetable,parsnips,all_varieties,2/25/2022,1.04,kg
vegetable,rhubarb,forced,2/25/2022,5.22,kg
vegetable,rhubarb,outdoor,2/25/2022,5.51,kg
cut_flowers,tulips,tulips,2/25/2022,0.28,stem
fruit,apples,bramleys_seedling,2/18/2022,1.97,kg
fruit,apples,coxs_orange_group,2/18/2022,1.33,kg
fruit,apples,egremont_russet,2/18/2022,1.17,kg
fruit,apples,braeburn,2/18/2022,1.08,kg
fruit,apples,gala,2/18/2022,1.05,kg
fruit,apples,other_late_season,2/18/2022,1.59,kg
fruit,pears,conference,2/18/2022,1.03,kg
fruit,pears,doyenne_du_comice,2/18/2022,1.1,kg
vegetable,beetroot,beetroot,2/18/2022,0.49,kg
vegetable,brussels_sprouts,brussels_sprouts,2/18/2022,0.83,kg
vegetable,pak_choi,pak_choi,2/18/2022,3.74,kg
vegetable,curly_kale,curly_kale,2/18/2022,3.24,kg
vegetable,cabbage,red,2/18/2022,0.6,kg
vegetable,cabbage,savoy,2/18/2022,0.49,head
vegetable,spring_greens,prepacked,2/18/2022,1.04,kg
vegetable,cabbage,white,2/18/2022,0.41,kg
vegetable,cabbage,round_green_other,2/18/2022,0.46,head
vegetable,capsicum,red,2/18/2022,0.9,kg
vegetable,carrots,topped_washed,2/18/2022,0.45,kg
vegetable,cauliflower,all,2/18/2022,0.74,head
vegetable,celeriac,celeriac,2/18/2022,0.76,kg
vegetable,leeks,trimmed,2/18/2022,1.18,kg
vegetable,lettuce,butterhead_indoor,2/18/2022,0.47,head
vegetable,lettuce,little_gem,2/18/2022,0.8,twin
vegetable,onion,bulb_brown,2/18/2022,0.4,kg
vegetable,onion,bulb_red,2/18/2022,0.63,kg
vegetable,swede,swede,2/18/2022,0.24,kg
vegetable,turnip,turnip,2/18/2022,1.02,kg
vegetable,parsnips,all_varieties,2/18/2022,1.04,kg
vegetable,rhubarb,forced,2/18/2022,5.02,kg
cut_flowers,tulips,tulips,2/18/2022,0.28,stem
fruit,apples,bramleys_seedling,2/11/2022,1.97,kg
fruit,apples,coxs_orange_group,2/11/2022,1.28,kg
fruit,apples,egremont_russet,2/11/2022,1.14,kg
fruit,apples,braeburn,2/11/2022,1.04,kg
fruit,apples,gala,2/11/2022,1.05,kg
fruit,apples,other_late_season,2/11/2022,1.29,kg
fruit,pears,conference,2/11/2022,1.12,kg
fruit,pears,doyenne_du_comice,2/11/2022,1.09,kg
vegetable,beetroot,beetroot,2/11/2022,0.5,kg
vegetable,brussels_sprouts,brussels_sprouts,2/11/2022,0.84,kg
vegetable,pak_choi,pak_choi,2/11/2022,3.38,kg
vegetable,curly_kale,curly_kale,2/11/2022,3.45,kg
vegetable,cabbage,red,2/11/2022,0.61,kg
vegetable,cabbage,savoy,2/11/2022,0.48,head
vegetable,spring_greens,prepacked,2/11/2022,1.01,kg
vegetable,cabbage,white,2/11/2022,0.42,kg
vegetable,cabbage,round_green_other,2/11/2022,0.47,head
vegetable,carrots,topped_washed,2/11/2022,0.48,kg
vegetable,cauliflower,all,2/11/2022,0.82,head
vegetable,celeriac,celeriac,2/11/2022,0.69,kg
vegetable,chinese_leaf,chinese_leaf,2/11/2022,0.97,kg
vegetable,leeks,trimmed,2/11/2022,1.2,kg
vegetable,lettuce,butterhead_indoor,2/11/2022,0.47,head
vegetable,lettuce,little_gem,2/11/2022,0.8,twin
vegetable,onion,bulb_brown,2/11/2022,0.46,kg
vegetable,onion,bulb_red,2/11/2022,0.56,kg
vegetable,swede,swede,2/11/2022,0.24,kg
vegetable,turnip,turnip,2/11/2022,1.09,kg
vegetable,parsnips,all_varieties,2/11/2022,1.04,kg
vegetable,rhubarb,forced,2/11/2022,5.04,kg
cut_flowers,tulips,tulips,2/11/2022,0.27,stem
fruit,apples,bramleys_seedling,2/4/2022,1.94,kg
fruit,apples,coxs_orange_group,2/4/2022,1.35,kg
fruit,apples,egremont_russet,2/4/2022,1.22,kg
fruit,apples,braeburn,2/4/2022,1.02,kg
fruit,apples,gala,2/4/2022,1.01,kg
fruit,apples,other_late_season,2/4/2022,1.23,kg
fruit,pears,conference,2/4/2022,1.17,kg
fruit,pears,doyenne_du_comice,2/4/2022,1.1,kg
vegetable,beetroot,beetroot,2/4/2022,0.53,kg
vegetable,brussels_sprouts,brussels_sprouts,2/4/2022,0.84,kg
vegetable,pak_choi,pak_choi,2/4/2022,3.38,kg
vegetable,curly_kale,curly_kale,2/4/2022,3.55,kg
vegetable,cabbage,red,2/4/2022,0.59,kg
vegetable,cabbage,savoy,2/4/2022,0.48,head
vegetable,spring_greens,prepacked,2/4/2022,1.13,kg
vegetable,cabbage,white,2/4/2022,0.42,kg
vegetable,cabbage,round_green_other,2/4/2022,0.47,head
vegetable,carrots,topped_washed,2/4/2022,0.48,kg
vegetable,cauliflower,all,2/4/2022,0.9,head
vegetable,celeriac,celeriac,2/4/2022,0.69,kg
vegetable,chinese_leaf,chinese_leaf,2/4/2022,0.97,kg
vegetable,cucumbers,cucumbers,2/4/2022,0.75,kg
vegetable,leeks,trimmed,2/4/2022,1.21,kg
vegetable,lettuce,butterhead_indoor,2/4/2022,0.47,head
vegetable,lettuce,little_gem,2/4/2022,0.85,twin
vegetable,onion,bulb_brown,2/4/2022,0.43,kg
vegetable,onion,bulb_red,2/4/2022,0.56,kg
vegetable,swede,swede,2/4/2022,0.24,kg
vegetable,turnip,turnip,2/4/2022,1.4,kg
vegetable,parsnips,all_varieties,2/4/2022,1.05,kg
vegetable,rhubarb,forced,2/4/2022,4.82,kg
cut_flowers,tulips,tulips,2/4/2022,0.27,stem
fruit,apples,bramleys_seedling,1/28/2022,1.93,kg
fruit,apples,coxs_orange_group,1/28/2022,1.2,kg
fruit,apples,egremont_russet,1/28/2022,1.21,kg
fruit,apples,braeburn,1/28/2022,1.03,kg
fruit,apples,gala,1/28/2022,1.03,kg
fruit,apples,other_late_season,1/28/2022,1.25,kg
fruit,pears,conference,1/28/2022,1.17,kg
fruit,pears,doyenne_du_comice,1/28/2022,1.05,kg
vegetable,beetroot,beetroot,1/28/2022,0.5,kg
vegetable,brussels_sprouts,brussels_sprouts,1/28/2022,0.84,kg
vegetable,pak_choi,pak_choi,1/28/2022,3,kg
vegetable,curly_kale,curly_kale,1/28/2022,3.12,kg
vegetable,cabbage,red,1/28/2022,0.59,kg
vegetable,cabbage,savoy,1/28/2022,0.47,head
vegetable,spring_greens,prepacked,1/28/2022,1.03,kg
vegetable,cabbage,white,1/28/2022,0.43,kg
vegetable,cabbage,round_green_other,1/28/2022,0.45,head
vegetable,carrots,topped_washed,1/28/2022,0.46,kg
vegetable,cauliflower,all,1/28/2022,0.79,head
vegetable,celeriac,celeriac,1/28/2022,0.69,kg
vegetable,chinese_leaf,chinese_leaf,1/28/2022,0.97,kg
vegetable,leeks,trimmed,1/28/2022,1.2,kg
vegetable,lettuce,butterhead_indoor,1/28/2022,0.46,head
vegetable,lettuce,little_gem,1/28/2022,0.78,twin
vegetable,onion,bulb_brown,1/28/2022,0.42,kg
vegetable,onion,bulb_red,1/28/2022,0.53,kg
vegetable,swede,swede,1/28/2022,0.23,kg
vegetable,turnip,turnip,1/28/2022,1.38,kg
vegetable,parsnips,all_varieties,1/28/2022,1.05,kg
vegetable,rhubarb,forced,1/28/2022,5.36,kg
cut_flowers,tulips,tulips,1/28/2022,0.22,stem
fruit,apples,bramleys_seedling,1/21/2022,2,kg
fruit,apples,coxs_orange_group,1/21/2022,1.23,kg
fruit,apples,egremont_russet,1/21/2022,1.29,kg
fruit,apples,braeburn,1/21/2022,1.02,kg
fruit,apples,gala,1/21/2022,1.04,kg
fruit,apples,other_late_season,1/21/2022,1.83,kg
fruit,pears,conference,1/21/2022,1.19,kg
fruit,pears,doyenne_du_comice,1/21/2022,1.08,kg
vegetable,beetroot,beetroot,1/21/2022,0.52,kg
vegetable,brussels_sprouts,brussels_sprouts,1/21/2022,0.85,kg
vegetable,pak_choi,pak_choi,1/21/2022,3.34,kg
vegetable,curly_kale,curly_kale,1/21/2022,3.03,kg
vegetable,cabbage,red,1/21/2022,0.55,kg
vegetable,cabbage,savoy,1/21/2022,0.47,head
vegetable,spring_greens,prepacked,1/21/2022,1.02,kg
vegetable,cabbage,white,1/21/2022,0.43,kg
vegetable,cabbage,round_green_other,1/21/2022,0.47,head
vegetable,carrots,topped_washed,1/21/2022,0.46,kg
vegetable,cauliflower,all,1/21/2022,0.69,head
vegetable,celeriac,celeriac,1/21/2022,0.69,kg
vegetable,chinese_leaf,chinese_leaf,1/21/2022,0.97,kg
vegetable,leeks,trimmed,1/21/2022,1.13,kg
vegetable,lettuce,butterhead_indoor,1/21/2022,0.47,head
vegetable,lettuce,little_gem,1/21/2022,0.79,twin
vegetable,onion,bulb_brown,1/21/2022,0.42,kg
vegetable,onion,bulb_red,1/21/2022,0.53,kg
vegetable,swede,swede,1/21/2022,0.23,kg
vegetable,turnip,turnip,1/21/2022,1.82,kg
vegetable,parsnips,all_varieties,1/21/2022,1.04,kg
vegetable,rhubarb,forced,1/21/2022,5.68,kg
cut_flowers,tulips,tulips,1/21/2022,0.22,stem
fruit,apples,bramleys_seedling,1/14/2022,1.91,kg
fruit,apples,coxs_orange_group,1/14/2022,1.18,kg
fruit,apples,egremont_russet,1/14/2022,1.13,kg
fruit,apples,braeburn,1/14/2022,0.96,kg
fruit,apples,gala,1/14/2022,1,kg
fruit,apples,other_late_season,1/14/2022,1.87,kg
fruit,pears,conference,1/14/2022,1.18,kg
fruit,pears,doyenne_du_comice,1/14/2022,1.07,kg
vegetable,beetroot,beetroot,1/14/2022,0.52,kg
vegetable,brussels_sprouts,brussels_sprouts,1/14/2022,0.84,kg
vegetable,pak_choi,pak_choi,1/14/2022,3.34,kg
vegetable,curly_kale,curly_kale,1/14/2022,3.37,kg
vegetable,cabbage,red,1/14/2022,0.57,kg
vegetable,cabbage,savoy,1/14/2022,0.47,head
vegetable,spring_greens,prepacked,1/14/2022,0.94,kg
vegetable,cabbage,white,1/14/2022,0.44,kg
vegetable,cabbage,round_green_other,1/14/2022,0.48,head
vegetable,carrots,topped_washed,1/14/2022,0.48,kg
vegetable,cauliflower,all,1/14/2022,0.68,head
vegetable,celeriac,celeriac,1/14/2022,0.71,kg
vegetable,chinese_leaf,chinese_leaf,1/14/2022,0.97,kg
vegetable,leeks,trimmed,1/14/2022,1.13,kg
vegetable,lettuce,butterhead_indoor,1/14/2022,0.46,head
vegetable,lettuce,little_gem,1/14/2022,0.81,twin
vegetable,onion,bulb_brown,1/14/2022,0.42,kg
vegetable,onion,bulb_red,1/14/2022,0.6,kg
vegetable,swede,swede,1/14/2022,0.24,kg
vegetable,turnip,turnip,1/14/2022,1.86,kg
vegetable,parsnips,all_varieties,1/14/2022,1.07,kg
vegetable,rhubarb,forced,1/14/2022,5.48,kg
cut_flowers,tulips,tulips,1/14/2022,0.29,stem
fruit,apples,bramleys_seedling,1/7/2022,1.9,kg
fruit,apples,coxs_orange_group,1/7/2022,1.07,kg
fruit,apples,egremont_russet,1/7/2022,0.96,kg
fruit,apples,braeburn,1/7/2022,0.97,kg
fruit,apples,gala,1/7/2022,0.95,kg
fruit,pears,conference,1/7/2022,1.3,kg
fruit,pears,doyenne_du_comice,1/7/2022,0.99,kg
vegetable,beetroot,beetroot,1/7/2022,0.54,kg
vegetable,brussels_sprouts,brussels_sprouts,1/7/2022,0.87,kg
vegetable,pak_choi,pak_choi,1/7/2022,3.25,kg
vegetable,curly_kale,curly_kale,1/7/2022,3.4,kg
vegetable,cabbage,red,1/7/2022,0.58,kg
vegetable,cabbage,savoy,1/7/2022,0.49,head
vegetable,spring_greens,prepacked,1/7/2022,0.94,kg
vegetable,cabbage,white,1/7/2022,0.46,kg
vegetable,cabbage,round_green_other,1/7/2022,0.48,head
vegetable,carrots,topped_washed,1/7/2022,0.47,kg
vegetable,cauliflower,all,1/7/2022,0.68,head
vegetable,celeriac,celeriac,1/7/2022,0.67,kg
vegetable,chinese_leaf,chinese_leaf,1/7/2022,0.96,kg
vegetable,leeks,trimmed,1/7/2022,1.15,kg
vegetable,lettuce,butterhead_indoor,1/7/2022,0.44,head
vegetable,lettuce,little_gem,1/7/2022,0.8,twin
vegetable,onion,bulb_brown,1/7/2022,0.46,kg
vegetable,onion,bulb_red,1/7/2022,0.62,kg
vegetable,swede,swede,1/7/2022,0.24,kg
vegetable,turnip,turnip,1/7/2022,1.87,kg
vegetable,parsnips,all_varieties,1/7/2022,1.05,kg
vegetable,rhubarb,forced,1/7/2022,4.94,kg
cut_flowers,tulips,tulips,1/7/2022,0.29,stem
fruit,apples,bramleys_seedling,12/17/2021,1.69,kg
fruit,apples,coxs_orange_group,12/17/2021,0.97,kg
fruit,apples,egremont_russet,12/17/2021,1.06,kg
fruit,apples,braeburn,12/17/2021,0.84,kg
fruit,apples,gala,12/17/2021,0.94,kg
fruit,apples,other_mid_season,12/17/2021,1.04,kg
fruit,apples,other_late_season,12/17/2021,1.01,kg
fruit,pears,conference,12/17/2021,0.77,kg
fruit,pears,doyenne_du_comice,12/17/2021,0.84,kg
vegetable,beetroot,beetroot,12/17/2021,0.54,kg
vegetable,brussels_sprouts,brussels_sprouts,12/17/2021,0.87,kg
vegetable,pak_choi,pak_choi,12/17/2021,2.94,kg
vegetable,curly_kale,curly_kale,12/17/2021,3.61,kg
vegetable,cabbage,red,12/17/2021,0.57,kg
vegetable,cabbage,savoy,12/17/2021,0.56,head
vegetable,spring_greens,prepacked,12/17/2021,0.96,kg
vegetable,cabbage,summer_autumn_pointed,12/17/2021,0.62,kg
vegetable,cabbage,white,12/17/2021,0.48,kg
vegetable,cabbage,round_green_other,12/17/2021,0.51,head
vegetable,carrots,topped_washed,12/17/2021,0.45,kg
vegetable,cauliflower,all,12/17/2021,1.15,head
vegetable,celery,all_washed,12/17/2021,0.78,kg
vegetable,celeriac,celeriac,12/17/2021,0.73,kg
vegetable,chinese_leaf,chinese_leaf,12/17/2021,0.97,kg
vegetable,leeks,trimmed,12/17/2021,1.15,kg
vegetable,lettuce,butterhead_indoor,12/17/2021,0.44,head
vegetable,lettuce,little_gem,12/17/2021,0.77,twin
vegetable,onion,bulb_brown,12/17/2021,0.4,kg
vegetable,onion,bulb_red,12/17/2021,0.56,kg
vegetable,swede,swede,12/17/2021,0.22,kg
vegetable,turnip,turnip,12/17/2021,1.28,kg
vegetable,parsnips,all_varieties,12/17/2021,1.13,kg
vegetable,tomatoes,vine,12/17/2021,1.26,kg
cut_flowers,tulips,tulips,12/17/2021,0.29,stem
fruit,apples,bramleys_seedling,12/10/2021,1.58,kg
fruit,apples,coxs_orange_group,12/10/2021,1.03,kg
fruit,apples,egremont_russet,12/10/2021,1.1,kg
fruit,apples,braeburn,12/10/2021,0.86,kg
fruit,apples,gala,12/10/2021,0.9,kg
fruit,apples,other_late_season,12/10/2021,1.03,kg
fruit,pears,conference,12/10/2021,0.93,kg
fruit,pears,doyenne_du_comice,12/10/2021,0.92,kg
fruit,pears,other,12/10/2021,0.87,kg
vegetable,beetroot,beetroot,12/10/2021,0.55,kg
vegetable,brussels_sprouts,brussels_sprouts,12/10/2021,0.92,kg
vegetable,pak_choi,pak_choi,12/10/2021,3.03,kg
vegetable,curly_kale,curly_kale,12/10/2021,3.66,kg
vegetable,cabbage,red,12/10/2021,0.57,kg
vegetable,cabbage,savoy,12/10/2021,0.56,head
vegetable,spring_greens,prepacked,12/10/2021,0.88,kg
vegetable,cabbage,summer_autumn_pointed,12/10/2021,0.62,kg
vegetable,cabbage,white,12/10/2021,0.47,kg
vegetable,cabbage,round_green_other,12/10/2021,0.51,head
vegetable,carrots,topped_washed,12/10/2021,0.46,kg
vegetable,cauliflower,all,12/10/2021,1.69,head
vegetable,celery,all_washed,12/10/2021,0.78,kg
vegetable,celeriac,celeriac,12/10/2021,0.75,kg
vegetable,chinese_leaf,chinese_leaf,12/10/2021,1.02,kg
vegetable,leeks,trimmed,12/10/2021,1.23,kg
vegetable,lettuce,butterhead_indoor,12/10/2021,0.44,head
vegetable,lettuce,little_gem,12/10/2021,0.77,twin
vegetable,onion,bulb_brown,12/10/2021,0.4,kg
vegetable,onion,bulb_red,12/10/2021,0.58,kg
vegetable,swede,swede,12/10/2021,0.23,kg
vegetable,turnip,turnip,12/10/2021,1.46,kg
vegetable,parsnips,all_varieties,12/10/2021,1.13,kg
vegetable,tomatoes,vine,12/10/2021,1.23,kg
cut_flowers,tulips,tulips,12/10/2021,0.29,stem
fruit,apples,bramleys_seedling,12/3/2021,1.54,kg
fruit,apples,coxs_orange_group,12/3/2021,1.03,kg
fruit,apples,egremont_russet,12/3/2021,1.17,kg
fruit,apples,braeburn,12/3/2021,0.88,kg
fruit,apples,gala,12/3/2021,0.96,kg
fruit,apples,other_late_season,12/3/2021,0.84,kg
fruit,pears,conference,12/3/2021,0.85,kg
fruit,pears,doyenne_du_comice,12/3/2021,0.95,kg
fruit,pears,other,12/3/2021,0.78,kg
vegetable,beetroot,beetroot,12/3/2021,0.56,kg
vegetable,brussels_sprouts,brussels_sprouts,12/3/2021,0.95,kg
vegetable,pak_choi,pak_choi,12/3/2021,2.87,kg
vegetable,curly_kale,curly_kale,12/3/2021,3.47,kg
vegetable,cabbage,red,12/3/2021,0.56,kg
vegetable,cabbage,savoy,12/3/2021,0.56,head
vegetable,spring_greens,prepacked,12/3/2021,0.87,kg
vegetable,cabbage,summer_autumn_pointed,12/3/2021,0.64,kg
vegetable,cabbage,white,12/3/2021,0.47,kg
vegetable,cabbage,round_green_other,12/3/2021,0.5,head
vegetable,carrots,topped_washed,12/3/2021,0.46,kg
vegetable,cauliflower,all,12/3/2021,1.49,head
vegetable,celery,all_washed,12/3/2021,0.78,kg
vegetable,celeriac,celeriac,12/3/2021,0.77,kg
vegetable,chinese_leaf,chinese_leaf,12/3/2021,0.95,kg
vegetable,coriander,coriander,12/3/2021,4.3,kg
vegetable,leeks,trimmed,12/3/2021,1.17,kg
vegetable,lettuce,butterhead_indoor,12/3/2021,0.45,head
vegetable,lettuce,little_gem,12/3/2021,0.81,twin
vegetable,onion,bulb_brown,12/3/2021,0.38,kg
vegetable,onion,bulb_red,12/3/2021,0.58,kg
vegetable,swede,swede,12/3/2021,0.23,kg
vegetable,turnip,turnip,12/3/2021,1.4,kg
vegetable,parsnips,all_varieties,12/3/2021,1.14,kg
vegetable,spinach_leaf,loose_bunches,12/3/2021,1.1,kg
cut_flowers,tulips,tulips,12/3/2021,0.3,stem
fruit,apples,bramleys_seedling,11/26/2021,1.59,kg
fruit,apples,coxs_orange_group,11/26/2021,1.2,kg
fruit,apples,egremont_russet,11/26/2021,1.24,kg
fruit,apples,braeburn,11/26/2021,1.06,kg
fruit,apples,gala,11/26/2021,1.01,kg
fruit,apples,other_mid_season,11/26/2021,0.8,kg
fruit,apples,other_late_season,11/26/2021,0.9,kg
fruit,pears,conference,11/26/2021,1.02,kg
fruit,pears,doyenne_du_comice,11/26/2021,1.02,kg
fruit,raspberries,raspberries,11/26/2021,4.8,kg
vegetable,beetroot,beetroot,11/26/2021,0.52,kg
vegetable,brussels_sprouts,brussels_sprouts,11/26/2021,0.91,kg
vegetable,pak_choi,pak_choi,11/26/2021,2.75,kg
vegetable,curly_kale,curly_kale,11/26/2021,3.12,kg
vegetable,cabbage,red,11/26/2021,0.57,kg
vegetable,cabbage,savoy,11/26/2021,0.51,head
vegetable,spring_greens,prepacked,11/26/2021,0.87,kg
vegetable,cabbage,summer_autumn_pointed,11/26/2021,0.6,kg
vegetable,cabbage,white,11/26/2021,0.47,kg
vegetable,cabbage,round_green_other,11/26/2021,0.47,head
vegetable,calabrese,calabrese,11/26/2021,1.5,kg
vegetable,capsicum,green,11/26/2021,1,kg
vegetable,capsicum,red,11/26/2021,0.75,kg
vegetable,carrots,topped_washed,11/26/2021,0.46,kg
vegetable,cauliflower,all,11/26/2021,1.03,head
vegetable,celery,all_washed,11/26/2021,0.76,kg
vegetable,celeriac,celeriac,11/26/2021,0.69,kg
vegetable,chinese_leaf,chinese_leaf,11/26/2021,0.95,kg
vegetable,coriander,coriander,11/26/2021,1.5,kg
vegetable,leeks,trimmed,11/26/2021,1.19,kg
vegetable,lettuce,butterhead_indoor,11/26/2021,0.45,head
vegetable,lettuce,little_gem,11/26/2021,0.83,twin
vegetable,onion,bulb_brown,11/26/2021,0.4,kg
vegetable,onion,bulb_red,11/26/2021,0.56,kg
vegetable,swede,swede,11/26/2021,0.23,kg
vegetable,turnip,turnip,11/26/2021,1.64,kg
vegetable,parsnips,all_varieties,11/26/2021,1.08,kg
vegetable,spinach_leaf,loose_bunches,11/26/2021,1.1,kg
fruit,apples,bramleys_seedling,11/19/2021,1.6,kg
fruit,apples,coxs_orange_group,11/19/2021,1.14,kg
fruit,apples,egremont_russet,11/19/2021,1.19,kg
fruit,apples,braeburn,11/19/2021,1.09,kg
fruit,apples,gala,11/19/2021,1.02,kg
fruit,apples,other_early_season,11/19/2021,1.06,kg
fruit,apples,other_late_season,11/19/2021,0.66,kg
fruit,pears,conference,11/19/2021,1.12,kg
fruit,pears,doyenne_du_comice,11/19/2021,1.06,kg
fruit,strawberries,strawberries,11/19/2021,8.75,kg
vegetable,beetroot,beetroot,11/19/2021,0.53,kg
vegetable,brussels_sprouts,brussels_sprouts,11/19/2021,0.95,kg
vegetable,pak_choi,pak_choi,11/19/2021,2.69,kg
vegetable,curly_kale,curly_kale,11/19/2021,3.22,kg
vegetable,cabbage,red,11/19/2021,0.56,kg
vegetable,cabbage,savoy,11/19/2021,0.52,head
vegetable,spring_greens,prepacked,11/19/2021,0.85,kg
vegetable,cabbage,summer_autumn_pointed,11/19/2021,0.6,kg
vegetable,cabbage,white,11/19/2021,0.47,kg
vegetable,cabbage,round_green_other,11/19/2021,0.47,head
vegetable,calabrese,calabrese,11/19/2021,1.47,kg
vegetable,capsicum,red,11/19/2021,1,kg
vegetable,capsicum,elongated,11/19/2021,1.7,kg
vegetable,carrots,topped_washed,11/19/2021,0.46,kg
vegetable,cauliflower,all,11/19/2021,0.95,head
vegetable,celery,all_washed,11/19/2021,0.78,kg
vegetable,celeriac,celeriac,11/19/2021,0.69,kg
vegetable,chinese_leaf,chinese_leaf,11/19/2021,0.89,kg
vegetable,coriander,coriander,11/19/2021,2.31,kg
vegetable,cucumbers,cucumbers,11/19/2021,0.9,kg
vegetable,leeks,trimmed,11/19/2021,1.22,kg
